path|label
./CNN/dataset/Augmented reality.png|Showing 1-25 of 18,878
./CNN/dataset/Light-based technologies.png|Showing 1-25 of 513
./CNN/dataset/edge AI in healthcare.png|Showing 1-25 of 540
./CNN/dataset/Geophysics.png|Showing 1-25 of 9,756
./CNN/dataset/exoskeleton technology for rehabilitation.png|Showing 1-25 of 1,841
./CNN/dataset/artificial neural networks.png|Showing 1-25 of 197,344
./CNN/dataset/Green chemistry.png|Showing 1-25 of 980
./CNN/dataset/Real-time monitoring systems.png|Showing 1-25 of 56,075
./CNN/dataset/secure data sharing.png|Showing 1-25 of 16,738
./CNN/dataset/biomaterials for medical implants.png|Showing 1-25 of 92
./CNN/dataset/Biogeochemical cycles.png|Showing 1-25 of 169
./CNN/dataset/Human-centered AI.png|Showing 1-25 of 426
./CNN/dataset/Renewable resources in chemistry.png|Showing 1-25 of 161
./CNN/dataset/graphene and its applications.png|Showing 1-25 of 1,333
./CNN/dataset/Hydrocarbons.png|Showing 1-25 of 5,869
./CNN/dataset/distributed ledger in IoT.png|Showing 1-25 of 1,629
./CNN/dataset/quantum error correction.png|Showing 1-25 of 4,812
./CNN/dataset/data privacy in AI.png|Showing 1-25 of 4,049
./CNN/dataset/3D printing in healthcare.png|Showing 1-25 of 409
./CNN/dataset/Clean energy technologies.png|Showing 1-25 of 32,537
./CNN/dataset/cybersecurity threats.png|Showing 1-25 of 8,717
./CNN/dataset/biomechanics in sports science.png|Showing 1-25 of 289
./CNN/dataset/Biochemistry.png|Showing 1-25 of 7,923
./CNN/dataset/solar cell materials.png|Showing 1-25 of 13,224
./CNN/dataset/text summarization using transformers.png|Showing 1-25 of 466
./CNN/dataset/Space telescopes.png|Showing 1-25 of 6,902
